"Riga","Colonna","Colonna_Nome","Valore_Imputato"
24,92,"X658640.0",38777.1826214045
25,92,"X658640.0",31950.1532435581
26,92,"X658640.0",32621.4476387215
29,92,"X658640.0",36995.2375336816
9,93,"X1.4446E7",16419.5524832218
14,93,"X1.4446E7",16222.7746301338
17,93,"X1.4446E7",16756.3391962618
20,93,"X1.4446E7",15661.6068362724
24,93,"X1.4446E7",16184.707029518
7,94,"X255370.0",18579.6509674937
9,94,"X255370.0",17043.7284355987
12,94,"X255370.0",18055.9977827043
14,94,"X255370.0",18163.493590755
25,94,"X255370.0",18166.6488824108
1,95,"X202520.0",25851.7819111169
3,95,"X202520.0",26002.0117542242
5,95,"X202520.0",26120.6316158603
7,95,"X202520.0",12055.0025009557
9,95,"X202520.0",17193.1707379221
10,95,"X202520.0",25300.0081640803
11,95,"X202520.0",25904.9779540355
12,95,"X202520.0",20270.2222521854
13,95,"X202520.0",19935.2084119015
14,95,"X202520.0",25574.3928730725
17,95,"X202520.0",25912.8141777976
18,95,"X202520.0",17696.9640150033
20,95,"X202520.0",25957.2544316225
21,95,"X202520.0",25868.9427454673
23,95,"X202520.0",8934.16951928915
24,95,"X202520.0",26048.9429432224
25,95,"X202520.0",4883.50981106776
27,95,"X202520.0",15790.0466446061
28,95,"X202520.0",26182.2202269181
29,95,"X202520.0",14280.0831178109
1,98,"X152300.0",19317.454150662
4,98,"X152300.0",19651.5085129873
8,98,"X152300.0",11625.8336148698
9,98,"X152300.0",10643.0211724335
11,98,"X152300.0",19606.2616211369
13,98,"X152300.0",18908.3617446538
15,98,"X152300.0",19464.8945991379
16,98,"X152300.0",14348.6285949935
17,98,"X152300.0",19737.8144801115
18,98,"X152300.0",18516.3225865681
21,98,"X152300.0",15406.1559504883
22,98,"X152300.0",19694.6590671532
23,98,"X152300.0",19046.3519940623
25,98,"X152300.0",9317.05689063458
27,98,"X152300.0",11286.9527692821
29,98,"X152300.0",18888.4050644689
25,99,"X1317500.0",41349.5173927688
29,99,"X1317500.0",73922.7374262803
23,100,"X427580.0",14815.6601391557
25,100,"X427580.0",7110.26890730873
9,101,"X591490.0",30517.1702700833
13,101,"X591490.0",30841.3615447175
23,101,"X591490.0",30822.2402181849
25,101,"X591490.0",12174.8666749591
29,101,"X591490.0",23238.8085509828
1,106,"X3438000.0",83791.7667308168
3,106,"X3438000.0",72066.1585417349
5,106,"X3438000.0",83234.1412685644
16,106,"X3438000.0",82880.6624549547
22,106,"X3438000.0",80571.2408559138
8,107,"X3669000.0",43485.5412641861
8,108,"X208730.0",31962.582806038
9,108,"X208730.0",16529.6500723681
12,108,"X208730.0",18204.8098964005
13,108,"X208730.0",15012.9047937188
18,108,"X208730.0",26785.6315194158
21,108,"X208730.0",22114.3909813704
23,108,"X208730.0",11491.3955682143
25,108,"X208730.0",4907.08887043513
29,108,"X208730.0",17161.9216697636
8,109,"X131840.0",11722.2923146918
29,109,"X131840.0",11935.6178969467
13,110,"X400380.0",19928.424606598
21,110,"X400380.0",19965.7173121427
25,110,"X400380.0",4721.04759108838
8,111,"X1060000.0",81524.9874808778
25,111,"X1060000.0",71422.3660092452
29,111,"X1060000.0",85287.8043797488
8,112,"X536760.0",7459.04190120593
11,112,"X536760.0",7066.19560386944
23,112,"X536760.0",7315.09447140359
25,112,"X536760.0",4466.72857034951
26,112,"X536760.0",7512.8206164366
25,113,"X1943500.0",437358.572383062
25,114,"X1586800.0",20833.1047641831
13,115,"X985030.0",82450.9017652936
25,115,"X985030.0",86094.1187122562
4,116,"X0.0...122",43622.7339458113
8,116,"X0.0...122",41672.0929300674
13,116,"X0.0...122",24860.1547376393
15,116,"X0.0...122",42432.7894131513
17,116,"X0.0...122",42969.2214424693
18,116,"X0.0...122",42857.2653701409
22,116,"X0.0...122",43684.7779763431
